decile,value,age,
0,161900,0,
0,25500,1,
0,19500,2,
0,13500,3,
0,19500,4,
0,14700,5,
0,18800,6,
0,23100,7,
0,26600,8,
0,23500,9,
0,S,10,
1,94500,0,
1,67400,1,
1,31600,2,
1,23100,3,
1,23400,4,
1,21400,5,
1,17700,6,
1,2000,7,
1,22400,8,
1,19700,9,
1,1500,10,
2,14500,0,
2,48900,1,
2,24200,2,
2,16400,3,
2,17400,4,
2,15100,5,
2,18100,6,
2,18600,7,
2,18100,8,
2,28900,9,
2,138500,10,
3,S,0,
3,25700,1,
3,2700,2,
3,1900,3,
3,18700,4,
3,18500,5,
3,18300,6,
3,18200,7,
3,16400,8,
3,22100,9,
3,163200,10,
4,11500,0,
4,44800,1,
4,3000,2,
4,26600,3,
4,19900,4,
4,25700,5,
4,23700,6,
4,25900,7,
4,27200,8,
4,24900,9,
4,90700,10,
5,S,0,
5,49500,1,
5,37700,2,
5,29200,3,
5,28800,4,
5,32300,5,
5,30900,6,
5,30900,7,
5,28300,8,
5,21400,9,
5,56600,10,
6,S,0,
6,33400,1,
6,45400,2,
6,37600,3,
6,35700,4,
6,40100,5,
6,39200,6,
6,37900,7,
6,26100,8,
6,28900,9,
6,3400,10,
7,S,0,
7,21200,1,
7,45700,2,
7,41900,3,
7,33800,4,
7,33100,5,
7,38400,6,
7,44400,7,
7,27100,8,
7,21700,9,
7,38200,10,
8,S,0,
8,S,1,
8,22200,2,
8,40900,3,
8,40900,4,
8,56400,5,
8,48900,6,
8,45800,7,
8,42500,8,
8,2400,9,
8,36700,10,
9,S,0,
9,S,1,
9,13400,2,
9,30300,3,
9,32100,4,
9,5100,5,
9,55200,6,
9,50200,7,
9,45400,8,
9,29600,9,
9,44800,10,
